 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  21. 5.2021    Time:  17:50:46
 Units: L = m    , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency
    12860  0.3700000E+03  0.19550E+00    2    60560    -4     1     T
    12891  0.3710000E+03  0.83050E-01    3    60654    -4     1     T
    12915  0.3720000E+03  0.10725E+00    4    60716    -4     1     T
    12924  0.3730000E+03  0.11111E+00    3    60753    -4     1     T
    12930  0.3740000E+03  0.19048E+00    2    60772    -4     1     T
    12952  0.3750000E+03  0.19550E+00    2    60816    -4     1     T
    12974  0.3760000E+03  0.19550E+00    2    60860    -4     1     T
    13005  0.3770000E+03  0.80984E-01    3    60957    -4     1     T
    13027  0.3780000E+03  0.19550E+00    4    61011    -4     1     T
    13085  0.3790000E+03  0.31451E-01    4    61227    -4     1     T
    13125  0.3800000E+03  0.38952E-01    3    61360    -4     1     T
    13156  0.3810000E+03  0.65575E-01    4    61456    -4     1     T
    13183  0.3820000E+03  0.12969E+00    6    61535    -4     1     T
    13208  0.3830000E+03  0.89373E-01    4    61602    -4     1     T
    13233  0.3840000E+03  0.89373E-01    4    61669    -4     1     T
    13257  0.3850000E+03  0.10427E+00    4    61730    -4     1     T
    13280  0.3860000E+03  0.13034E+00    4    61786    -4     1     T
    13302  0.3870000E+03  0.19550E+00    5    61838    -4     1     T
    13307  0.3880000E+03  0.20000E+00    5    61863    -4     1     T
    13329  0.3890000E+03  0.19550E+00    4    61912    -4     1     T
    13351  0.3900000E+03  0.19550E+00    4    61961    -4     1     T
    13376  0.3910000E+03  0.20153E+00    5    62030    -4     1     T
    13382  0.3920000E+03  0.21429E+00    4    62055    -4     1     T
    13404  0.3930000E+03  0.19550E+00    3    62101    -4     1     T
    13426  0.3940000E+03  0.19550E+00    3    62147    -4     1     T
    13430  0.3950000E+03  0.25000E+00    5    62166    -4     1     T
    13434  0.3960000E+03  0.25000E+00    4    62185    -4     1     T
    13438  0.3970000E+03  0.25000E+00    4    62201    -4     1     T
    13460  0.3980000E+03  0.19550E+00    3    62247    -4     1     T
    13482  0.3990000E+03  0.19550E+00    3    62293    -4     1     T
    13557  0.4000000E+03  0.27980E-01    4    62589    -4     1     T
    13589  0.4010000E+03  0.37923E-01    4    62717    -4     1     T
    13626  0.4020000E+03  0.39860E-01    4    62840    -4     1     T
    13658  0.4030000E+03  0.52460E-01    3    62937    -4     1     T
    13685  0.4040000E+03  0.12969E+00    6    63015    -4     1     T
    13696  0.4050000E+03  0.11027E+00    4    63058    -4     1     T
    13727  0.4060000E+03  0.88170E-01    3    63152    -4     1     T
    13735  0.4070000E+03  0.13333E+00    4    63183    -4     1     T
    13742  0.4080000E+03  0.14286E+00    3    63211    -4     1     T
    13764  0.4090000E+03  0.19550E+00    5    63261    -4     1     T
    13769  0.4100000E+03  0.20000E+00    4    63283    -4     1     T
