 ******* Program HYDRUS
 ******* Welcome to HYDRUS-1D                                                    
 Date:   9.10.    Time:  14: 8:15
 Units: L = m    , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
  205      1.22     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  206      1.23     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  207      1.24     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  208      1.24     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  209      1.25     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  210      1.25     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  211      1.26     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  212      1.27     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  213      1.27     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  214      1.28     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  215      1.28     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  216      1.29     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  217      1.30     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  218      1.30     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  219      1.31     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  220      1.31     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  221      1.32     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  222      1.33     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  223      1.33     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  224      1.34     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  225      1.34     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  226      1.35     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  227      1.36     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  228      1.36     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  229      1.37     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  230      1.37     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  231      1.38     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
